criterion_id,category,requirement,status,evidence
G100-073,SYNTHESIS_CERTAINTY_CLAIMS,Certainty vector,PASS,oslt_research/certainty.py:CertaintyVector
G100-074,SYNTHESIS_CERTAINTY_CLAIMS,Statistical certainty,PASS,oslt_research/certainty.py:STATISTICAL_PRECISION
G100-075,SYNTHESIS_CERTAINTY_CLAIMS,Causal certainty,PASS,oslt_research/certainty.py:CAUSAL_IDENTIFICATION
G100-076,SYNTHESIS_CERTAINTY_CLAIMS,Epistemic status separation,PASS,oslt_research/epistemic_status.py:EpistemicStatus
G100-077,SYNTHESIS_CERTAINTY_CLAIMS,Explanatory contribution,PASS,oslt_research/certainty.py:EXPLANATORY_CONTRIBUTION
G100-078,SYNTHESIS_CERTAINTY_CLAIMS,Atomic claim evidence binding,PASS,oslt_research/claim_verification.py:AtomicClaim
G100-079,SYNTHESIS_CERTAINTY_CLAIMS,Claim entailment state,PASS,oslt_research/claim_verification.py:EntailmentState
G100-080,SYNTHESIS_CERTAINTY_CLAIMS,Unsupported claim blocked,PASS,oslt_research/claim_verification.py:NOT_SUPPORTED
G100-081,SECURITY_GOVERNANCE_REPRODUCIBILITY,Retrieved content untrusted,PASS,oslt_research/security.py:UNTRUSTED_EXTERNAL_DATA
G100-082,SECURITY_GOVERNANCE_REPRODUCIBILITY,Prompt-injection detection,PASS,oslt_research/security.py:previous\s+instructions
G100-083,SECURITY_GOVERNANCE_REPRODUCIBILITY,Least-privilege tool policy,PASS,oslt_research/security.py:ToolPolicy
G100-084,SECURITY_GOVERNANCE_REPRODUCIBILITY,Risk-based human expert review,PASS,oslt_research/human_review.py:MULTIDISCIPLINARY_PANEL
G100-085,SECURITY_GOVERNANCE_REPRODUCIBILITY,Verified provenance,PASS,oslt_research/evidence.py:VerificationState
G100-086,SECURITY_GOVERNANCE_REPRODUCIBILITY,Execution manifest prompt hashes,PASS,oslt_research/execution.py:system_prompt_hash
G100-087,SECURITY_GOVERNANCE_REPRODUCIBILITY,RAG version binding,PASS,oslt_research/execution.py:rag_version
G100-088,SECURITY_GOVERNANCE_REPRODUCIBILITY,Analysis-code hash,PASS,oslt_research/analysis_execution.py:code_hash
G100-089,SECURITY_GOVERNANCE_REPRODUCIBILITY,Environment hash,PASS,oslt_research/analysis_execution.py:environment_hash
G100-090,SECURITY_GOVERNANCE_REPRODUCIBILITY,Hash-chained research journal,PASS,oslt_research/adjudication.py:ResearchComputationJournal
G100-091,EVALUATION_DISCOVERY_RELEASE,Retrieval recall at K,PASS,oslt_research/retrieval_eval.py:recall_at_k
G100-092,EVALUATION_DISCOVERY_RELEASE,Evidence-lane recall,PASS,oslt_research/retrieval_eval.py:lane_recall
G100-093,EVALUATION_DISCOVERY_RELEASE,OSLT-specific model qualification,PASS,oslt_research/model_benchmark.py:ModelQualificationPolicy
G100-094,EVALUATION_DISCOVERY_RELEASE,Evidence completeness and saturation,PASS,oslt_research/evidence_completeness.py:DISCOVERY_SATURATION_NOT_REACHED
G100-095,EVALUATION_DISCOVERY_RELEASE,Execution resource circuit breaker,PASS,oslt_research/execution_budget.py:ExecutionBudget
G100-096,EVALUATION_DISCOVERY_RELEASE,Integrated execution architecture,PASS,oslt_research/engine.py:ExecutionArchitecturePlan
G100-097,EVALUATION_DISCOVERY_RELEASE,Graph node contracts,PASS,oslt_research/workflow_graph.py:NodeContract
G100-098,EVALUATION_DISCOVERY_RELEASE,Controlled convergent loops,PASS,oslt_research/workflow_graph.py:LoopPolicy
G100-099,EVALUATION_DISCOVERY_RELEASE,Fail-closed release readiness,PASS,oslt_research/release_readiness.py:ReleaseReadiness
G100-100,EVALUATION_DISCOVERY_RELEASE,Executable Global-100 assurance overlay,PASS,oslt_research/global100_assurance.py:run_assurance
