variable_id,source_domain,name,primary_research_domain,secondary_research_domains,default_method_families,timing,preferred_source,measurement_requirements,inference_boundary
BIO-016,Biological/physical,Physical activity,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Repeated,device/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
BIO-017,Biological/physical,Substance use exposure,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Repeated,EHR/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
BIO-018,Biological/physical,Medication affecting endocrine/psychiatric state,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
GEN-001,Genomic/family biology,Genomic ancestry principal components,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Baseline,genomic pipeline,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
GEN-002,Genomic/family biology,Genome build and sequencing method,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Baseline,laboratory,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
GEN-003,Genomic/family biology,Sequence quality metrics,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Baseline,laboratory,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
GEN-004,Genomic/family biology,Established pathogenic variants relevant to independent diagnoses,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Baseline,clinical genomics,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
GEN-005,Genomic/family biology,Neurodevelopmental genetic diagnosis,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Baseline,clinical genomics,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
GEN-006,Genomic/family biology,Family psychiatric history,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Baseline,participant/EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
GEN-007,Genomic/family biology,Family neurodevelopmental history,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Baseline,participant/EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
GEN-008,Genomic/family biology,Family gender-diversity history,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Baseline,participant,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
GEN-009,Genomic/family biology,Twin/sibling relationship structure,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Baseline,participant/genomics,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
GEN-010,Genomic/family biology,Parent-child inheritance status of clinically relevant variants,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Baseline,clinical genomics,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
GEN-011,Genomic/family biology,Polygenic score research metadata,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Baseline,research genomics,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
GEN-012,Genomic/family biology,Gene-environment interaction candidate,GENOMIC_BIOLOGICAL,FAMILY_INTERPERSONAL,MULTILEVEL_HIERARCHICAL_MODEL;TRANSPORTABILITY_GENERALISABILITY;LABEL_NOISE_MISCLASSIFICATION,Analysis,derived,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
DEV-001,Developmental,Early temperament,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Historical,parent/participant,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
DEV-002,Developmental,Language developmental milestones,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Historical,paediatric record,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
DEV-003,Developmental,Social developmental milestones,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Historical,paediatric record,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
DEV-004,Developmental,Early gender-related behaviours,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Historical,participant/parent,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
DEV-005,Developmental,Age at first gender-related distress,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Historical,participant/EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
DEV-006,Developmental,Age at first body-related distress,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Historical,participant/EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
DEV-007,Developmental,Age at first gender-related identity label,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Historical,participant/digital,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
DEV-008,Developmental,Age at first disclosure,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Historical,participant/EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
DEV-009,Developmental,Puberty-to-distress interval,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Analysis,derived,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
DEV-010,Developmental,School transition timing,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Repeated,education record,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
DEV-011,Developmental,Family transition timing,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Repeated,participant,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
DEV-012,Developmental,Major bereavement timing,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Repeated,participant/EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
DEV-013,Developmental,Identity exploration breadth,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Repeated,PRO/digital,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
DEV-014,Developmental,Self-concept clarity,CLINICAL_DEVELOPMENTAL,,SEQUENCE_ANALYSIS;SURVIVAL_EVENT_HISTORY;GROWTH_MIXTURE_MODEL,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
ND-001,Neurodevelopmental,Autism diagnosis,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Baseline,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
ND-002,Neurodevelopmental,Autism assessment instrument and score,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Baseline,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL,Not evidence of causation by itself
ND-003,Neurodevelopmental,ADHD diagnosis,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Baseline,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
ND-004,Neurodevelopmental,ADHD symptom severity,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Repeated,EHR/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
ND-005,Neurodevelopmental,Learning disability,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Baseline,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
ND-006,Neurodevelopmental,Intellectual disability,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Baseline,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
ND-007,Neurodevelopmental,Specific learning difficulty,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Baseline,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
ND-008,Neurodevelopmental,Sensory sensitivity,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
ND-009,Neurodevelopmental,Cognitive flexibility,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Repeated,research,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
ND-010,Neurodevelopmental,Executive function,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Repeated,research,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
ND-011,Neurodevelopmental,Social communication,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Repeated,research/EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
ND-012,Neurodevelopmental,Restricted/repetitive interests,CLINICAL_DEVELOPMENTAL,PSYCHIATRIC_PSYCHOLOGICAL,MEASUREMENT_INVARIANCE;DIFFERENTIAL_ITEM_FUNCTIONING;CAUSAL_FOREST_HTE,Repeated,research/EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
PSY-001,Psychiatric,Major depressive disorder history,PSYCHIATRIC_PSYCHOLOGICAL,CLINICAL_DEVELOPMENTAL,STRUCTURAL_EQUATION_MODEL;SURVIVAL_EVENT_HISTORY;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
PSY-002,Psychiatric,Depressive symptom severity,PSYCHIATRIC_PSYCHOLOGICAL,CLINICAL_DEVELOPMENTAL,STRUCTURAL_EQUATION_MODEL;SURVIVAL_EVENT_HISTORY;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,Repeated,PRO/EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
PSY-003,Psychiatric,Anxiety disorder history,PSYCHIATRIC_PSYCHOLOGICAL,CLINICAL_DEVELOPMENTAL,STRUCTURAL_EQUATION_MODEL;SURVIVAL_EVENT_HISTORY;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
PSY-004,Psychiatric,Anxiety symptom severity,PSYCHIATRIC_PSYCHOLOGICAL,CLINICAL_DEVELOPMENTAL,STRUCTURAL_EQUATION_MODEL;SURVIVAL_EVENT_HISTORY;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
PSY-005,Psychiatric,Obsessive-compulsive disorder/symptoms,PSYCHIATRIC_PSYCHOLOGICAL,CLINICAL_DEVELOPMENTAL,STRUCTURAL_EQUATION_MODEL;SURVIVAL_EVENT_HISTORY;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,Repeated,EHR/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
PSY-006,Psychiatric,PTSD/trauma-related disorder,PSYCHIATRIC_PSYCHOLOGICAL,CLINICAL_DEVELOPMENTAL,STRUCTURAL_EQUATION_MODEL;SURVIVAL_EVENT_HISTORY;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
PSY-007,Psychiatric,Dissociation symptoms,PSYCHIATRIC_PSYCHOLOGICAL,CLINICAL_DEVELOPMENTAL,STRUCTURAL_EQUATION_MODEL;SURVIVAL_EVENT_HISTORY;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
PSY-008,Psychiatric,Eating disorder diagnosis,PSYCHIATRIC_PSYCHOLOGICAL,CLINICAL_DEVELOPMENTAL,STRUCTURAL_EQUATION_MODEL;SURVIVAL_EVENT_HISTORY;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
PSY-009,Psychiatric,Body dysmorphic symptoms,PSYCHIATRIC_PSYCHOLOGICAL,CLINICAL_DEVELOPMENTAL,STRUCTURAL_EQUATION_MODEL;SURVIVAL_EVENT_HISTORY;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,Repeated,PRO/EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
