variable_id,variable_domain,variable_name,preferred_source_declared_in_ontology,primary_source_ids,secondary_source_ids,primary_source_data_types,access_classes,acquisition_phase,timing_requirement,sensitivity,linkage_note
BIO-011,Biological/physical,BMI/weight trajectory,EHR,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-012,Biological/physical,Chronic physical illness burden,EHR,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-013,Biological/physical,Disability/functional limitation,EHR/PRO,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-014,Biological/physical,Pain burden,EHR/PRO,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-015,Biological/physical,Sleep duration/quality,device/PRO,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-016,Biological/physical,Physical activity,device/PRO,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-017,Biological/physical,Substance use exposure,EHR/PRO,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-018,Biological/physical,Medication affecting endocrine/psychiatric state,EHR,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-001,Genomic/family biology,Genomic ancestry principal components,genomic pipeline,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Baseline,High,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-002,Genomic/family biology,Genome build and sequencing method,laboratory,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Baseline,High,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-003,Genomic/family biology,Sequence quality metrics,laboratory,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Baseline,High,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-004,Genomic/family biology,Established pathogenic variants relevant to independent diagnoses,clinical genomics,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Baseline,High,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-005,Genomic/family biology,Neurodevelopmental genetic diagnosis,clinical genomics,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Baseline,High,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-006,Genomic/family biology,Family psychiatric history,participant/EHR,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Baseline,High,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-007,Genomic/family biology,Family neurodevelopmental history,participant/EHR,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Baseline,High,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-008,Genomic/family biology,Family gender-diversity history,participant,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Baseline,High,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-009,Genomic/family biology,Twin/sibling relationship structure,participant/genomics,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Baseline,High,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-010,Genomic/family biology,Parent-child inheritance status of clinically relevant variants,clinical genomics,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Baseline,High,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-011,Genomic/family biology,Polygenic score research metadata,research genomics,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Baseline,High,Candidate source mapping only; verify field-level availability and construct validity before application.
GEN-012,Genomic/family biology,Gene-environment interaction candidate,derived,DS009;DS008,DS007;DS020,Whole genomes; phenotypes; longitudinal clinical data; linked HES/mental health | Genetics; imaging; biomarkers; lifestyle; linked health records,RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_3,Analysis,High,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-001,Developmental,Early temperament,parent/participant,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-002,Developmental,Language developmental milestones,paediatric record,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-003,Developmental,Social developmental milestones,paediatric record,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-004,Developmental,Early gender-related behaviours,participant/parent,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-005,Developmental,Age at first gender-related distress,participant/EHR,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-006,Developmental,Age at first body-related distress,participant/EHR,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-007,Developmental,Age at first gender-related identity label,participant/digital,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-008,Developmental,Age at first disclosure,participant/EHR,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-009,Developmental,Puberty-to-distress interval,derived,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Analysis,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-010,Developmental,School transition timing,education record,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-011,Developmental,Family transition timing,participant,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-012,Developmental,Major bereavement timing,participant/EHR,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-013,Developmental,Identity exploration breadth,PRO/digital,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
DEV-014,Developmental,Self-concept clarity,PRO,DS018;DS020;DS021,DS004;DS019,"Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics | Health, development, education, family, environment, linked records",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-001,Neurodevelopmental,Autism diagnosis,EHR,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Baseline,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-002,Neurodevelopmental,Autism assessment instrument and score,EHR,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Baseline,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-003,Neurodevelopmental,ADHD diagnosis,EHR,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Baseline,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-004,Neurodevelopmental,ADHD symptom severity,EHR/PRO,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-005,Neurodevelopmental,Learning disability,EHR,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Baseline,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-006,Neurodevelopmental,Intellectual disability,EHR,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Baseline,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-007,Neurodevelopmental,Specific learning difficulty,EHR,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Baseline,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-008,Neurodevelopmental,Sensory sensitivity,PRO,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-009,Neurodevelopmental,Cognitive flexibility,research,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-010,Neurodevelopmental,Executive function,research,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-011,Neurodevelopmental,Social communication,research/EHR,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
ND-012,Neurodevelopmental,Restricted/repetitive interests,research/EHR,DS003;DS004;DS018,DS020;DS021,"Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
PSY-001,Psychiatric,Major depressive disorder history,EHR,DS003;DS004;DS005,DS018;DS019;DS020,Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Longitudinal GP EHR with linkages to secondary care and other datasets,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_LICENSED;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
PSY-002,Psychiatric,Depressive symptom severity,PRO/EHR,DS003;DS004;DS005,DS018;DS019;DS020,Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Longitudinal GP EHR with linkages to secondary care and other datasets,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_LICENSED;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
PSY-003,Psychiatric,Anxiety disorder history,EHR,DS003;DS004;DS005,DS018;DS019;DS020,Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Longitudinal GP EHR with linkages to secondary care and other datasets,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_LICENSED;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
PSY-004,Psychiatric,Anxiety symptom severity,PRO,DS003;DS004;DS005,DS018;DS019;DS020,Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Longitudinal GP EHR with linkages to secondary care and other datasets,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_LICENSED;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
PSY-005,Psychiatric,Obsessive-compulsive disorder/symptoms,EHR/PRO,DS003;DS004;DS005,DS018;DS019;DS020,Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Longitudinal GP EHR with linkages to secondary care and other datasets,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_LICENSED;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
PSY-006,Psychiatric,PTSD/trauma-related disorder,EHR,DS003;DS004;DS005,DS018;DS019;DS020,Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Longitudinal GP EHR with linkages to secondary care and other datasets,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_LICENSED;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
PSY-007,Psychiatric,Dissociation symptoms,PRO,DS003;DS004;DS005,DS018;DS019;DS020,Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Longitudinal GP EHR with linkages to secondary care and other datasets,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_LICENSED;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
PSY-008,Psychiatric,Eating disorder diagnosis,EHR,DS003;DS004;DS005,DS018;DS019;DS020,Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Longitudinal GP EHR with linkages to secondary care and other datasets,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_LICENSED;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
PSY-009,Psychiatric,Body dysmorphic symptoms,PRO/EHR,DS003;DS004;DS005,DS018;DS019;DS020,Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Longitudinal GP EHR with linkages to secondary care and other datasets,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_LICENSED;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
