variable_id,domain,canonical_name,candidate_causal_role,measurement_type,unit_or_encoding,temporal_anchor,preferred_source,candidate_primary_source_ids,candidate_secondary_source_ids,access_classes,privacy_class,participant_consent_rule,minimum_quality_gate,missingness_rule,linkage_rule,provenance_required,inference_boundary,acquisition_status
BIO-011,Biological/physical,BMI/weight trajectory,Confounder/Outcome,MIXED_OR_SOURCE_SPECIFIC,kg/m2 / kg,Repeated,EHR,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-012,Biological/physical,Chronic physical illness burden,Confounder,NUMERIC_OR_SCALE,count/conditions,Repeated,EHR,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-013,Biological/physical,Disability/functional limitation,Confounder/Outcome,TEMPORAL_NUMERIC,validated/function,Repeated,EHR/PRO,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-014,Biological/physical,Pain burden,Confounder/Outcome,TEMPORAL_NUMERIC,validated scale,Repeated,EHR/PRO,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-015,Biological/physical,Sleep duration/quality,Confounder/Outcome,TEMPORAL_NUMERIC,hours/scale,Repeated,device/PRO,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-016,Biological/physical,Physical activity,Confounder/Outcome,MIXED_OR_SOURCE_SPECIFIC,minutes/week,Repeated,device/PRO,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-017,Biological/physical,Substance use exposure,Confounder/Outcome,NUMERIC_OR_SCALE,frequency,Repeated,EHR/PRO,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-018,Biological/physical,Medication affecting endocrine/psychiatric state,Confounder/Exposure,NUMERIC_OR_SCALE,dm+d drug/dose,Repeated,EHR,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-001,Genomic/family biology,Genomic ancestry principal components,Moderator,NUMERIC_OR_SCALE,continuous,Baseline,genomic pipeline,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-002,Genomic/family biology,Genome build and sequencing method,Measurement artifact,MIXED_OR_SOURCE_SPECIFIC,metadata,Baseline,laboratory,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-003,Genomic/family biology,Sequence quality metrics,Measurement artifact,MIXED_OR_SOURCE_SPECIFIC,QC metrics,Baseline,laboratory,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-004,Genomic/family biology,Established pathogenic variants relevant to independent diagnoses,Confounder/Moderator,MIXED_OR_SOURCE_SPECIFIC,variant classification,Baseline,clinical genomics,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-005,Genomic/family biology,Neurodevelopmental genetic diagnosis,Confounder/Moderator,CATEGORICAL_OR_CODED,diagnosis,Baseline,clinical genomics,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-006,Genomic/family biology,Family psychiatric history,Confounder,MIXED_OR_SOURCE_SPECIFIC,family-history matrix,Baseline,participant/EHR,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-007,Genomic/family biology,Family neurodevelopmental history,Confounder,MIXED_OR_SOURCE_SPECIFIC,family-history matrix,Baseline,participant/EHR,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-008,Genomic/family biology,Family gender-diversity history,Exploratory exposure,MIXED_OR_SOURCE_SPECIFIC,family-history matrix,Baseline,participant,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-009,Genomic/family biology,Twin/sibling relationship structure,Design variable,MIXED_OR_SOURCE_SPECIFIC,kinship,Baseline,participant/genomics,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-010,Genomic/family biology,Parent-child inheritance status of clinically relevant variants,Moderator,MIXED_OR_SOURCE_SPECIFIC,inherited/de novo,Baseline,clinical genomics,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-011,Genomic/family biology,Polygenic score research metadata,Exploratory moderator,NUMERIC_OR_SCALE,score/version,Baseline,research genomics,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
GEN-012,Genomic/family biology,Gene-environment interaction candidate,Exploratory moderator,TEMPORAL_NUMERIC,model term,Analysis,derived,DS009;DS008,DS007;DS020,RESTRICTED_COHORT;RESTRICTED_TRE,SPECIAL_CATEGORY_OR_HIGH_SENSITIVITY,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
DEV-001,Developmental,Early temperament,Confounder/Moderator,TEMPORAL_NUMERIC,validated/historical,Historical,parent/participant,DS018;DS020;DS021,DS004;DS019,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
DEV-002,Developmental,Language developmental milestones,Confounder,TEMPORAL_NUMERIC,age milestones,Historical,paediatric record,DS018;DS020;DS021,DS004;DS019,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
DEV-003,Developmental,Social developmental milestones,Confounder,TEMPORAL_NUMERIC,age milestones,Historical,paediatric record,DS018;DS020;DS021,DS004;DS019,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
DEV-004,Developmental,Early gender-related behaviours,Exposure/Phenotype,MIXED_OR_SOURCE_SPECIFIC,structured history,Historical,participant/parent,DS018;DS020;DS021,DS004;DS019,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
DEV-005,Developmental,Age at first gender-related distress,Outcome onset,TEMPORAL_NUMERIC,age/date,Historical,participant/EHR,DS018;DS020;DS021,DS004;DS019,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
DEV-006,Developmental,Age at first body-related distress,Outcome onset,TEMPORAL_NUMERIC,age/date,Historical,participant/EHR,DS018;DS020;DS021,DS004;DS019,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
DEV-007,Developmental,Age at first gender-related identity label,Outcome/process,TEMPORAL_NUMERIC,age/date,Historical,participant/digital,DS018;DS020;DS021,DS004;DS019,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
