criterion_id,category,requirement,status,evidence
G100-033,METHOD_SELECTION_CONTRAST,A/B randomised contrast,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:RANDOMISED_AB_TEST
G100-034,METHOD_SELECTION_CONTRAST,A/B/n contrast,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:MULTIARM_ABN_RANDOMISED
G100-035,METHOD_SELECTION_CONTRAST,Factorial contrast,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:FACTORIAL_RANDOMISED
G100-036,METHOD_SELECTION_CONTRAST,Quasi-experimental contrasts,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:DIFFERENCE_IN_DIFFERENCES
G100-037,METHOD_SELECTION_CONTRAST,Target trial emulation,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:TARGET_TRIAL_EMULATION
G100-038,METHOD_SELECTION_CONTRAST,Synthetic control,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:SYNTHETIC_CONTROL
G100-039,METHOD_SELECTION_CONTRAST,Equivalence/non-inferiority,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:EQUIVALENCE_NONINFERIORITY
G100-040,METHOD_SELECTION_CONTRAST,Sequential/adaptive designs,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:GROUP_SEQUENTIAL_DESIGN
G100-041,ROBUSTNESS_BIAS,Specification curve,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:SPECIFICATION_CURVE_MULTIVERSE
G100-042,ROBUSTNESS_BIAS,Bayesian model averaging,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:BAYESIAN_MODEL_AVERAGING
G100-043,ROBUSTNESS_BIAS,Probabilistic bias analysis,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:PROBABILISTIC_BIAS_ANALYSIS
G100-044,ROBUSTNESS_BIAS,Unmeasured confounding sensitivity,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:UNMEASURED_CONFOUNDING_SENSITIVITY
G100-045,ROBUSTNESS_BIAS,E-value sensitivity,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:E_VALUE_SENSITIVITY
G100-046,ROBUSTNESS_BIAS,Rosenbaum bounds,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:ROSENBAUM_BOUNDS
G100-047,ROBUSTNESS_BIAS,Placebo falsification,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:PLACEBO_FALSIFICATION
G100-048,ROBUSTNESS_BIAS,Blind analysis,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:BLIND_ANALYSIS
G100-049,ROBUSTNESS_BIAS,Multi-analyst replication,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:MULTI_ANALYST_REPLICATION
G100-050,ROBUSTNESS_BIAS,Publication selection analysis,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:PUBLICATION_SELECTION_MODEL
G100-051,HISTORICAL_INTERPRETIVE,Process tracing,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:PROCESS_TRACING
G100-052,HISTORICAL_INTERPRETIVE,Historical institutional change,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:HISTORICAL_INSTITUTIONAL_CHANGE
G100-053,HISTORICAL_INTERPRETIVE,Mechanism links,PASS,oslt_research/historical.py:MechanismLink
G100-054,HISTORICAL_INTERPRETIVE,Change-point detection,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:CHANGE_POINT_DETECTION
G100-055,HISTORICAL_INTERPRETIVE,Corpus linguistics,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:CORPUS_LINGUISTICS
G100-056,HISTORICAL_INTERPRETIVE,Diachronic semantics,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:DIACHRONIC_SEMANTIC_ANALYSIS
G100-057,HISTORICAL_INTERPRETIVE,Content analysis,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:QUANTITATIVE_CONTENT_ANALYSIS
G100-058,HISTORICAL_INTERPRETIVE,Discourse analysis,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:DISCOURSE_ANALYSIS
G100-059,HISTORICAL_INTERPRETIVE,Narrative analysis,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:NARRATIVE_ANALYSIS
G100-060,HISTORICAL_INTERPRETIVE,Psychodynamic output bounded,PASS,oslt_research/interpretive.py:PSYCHODYNAMIC
G100-061,SYNTHESIS_CERTAINTY,Independence-aware triangulation,PASS,oslt_research/triangulation.py:effective_independent_families
G100-062,SYNTHESIS_CERTAINTY,Shared bias detection,PASS,oslt_research/triangulation.py:SHARED_BIAS_SIGNATURE
G100-063,SYNTHESIS_CERTAINTY,Pairwise rival comparison,PASS,oslt_research/contrast.py:PairwiseHypothesisContrast
G100-064,SYNTHESIS_CERTAINTY,Discriminatory evidence,PASS,oslt_research/contrast.py:likelihood_by_hypothesis
G100-065,SYNTHESIS_CERTAINTY,Certainty vector,PASS,oslt_research/certainty.py:CertaintyVector
G100-066,SYNTHESIS_CERTAINTY,Statistical certainty separated,PASS,oslt_research/certainty.py:STATISTICAL_PRECISION
G100-067,SYNTHESIS_CERTAINTY,Causal certainty separated,PASS,oslt_research/certainty.py:CAUSAL_IDENTIFICATION
G100-068,SYNTHESIS_CERTAINTY,Model certainty separated,PASS,oslt_research/certainty.py:MODEL_SPECIFICATION_STABILITY
G100-069,SYNTHESIS_CERTAINTY,Explanatory contribution separated,PASS,oslt_research/certainty.py:EXPLANATORY_CONTRIBUTION
G100-070,SYNTHESIS_CERTAINTY,Claim calibration,PASS,oslt_research/certainty.py:calibrate_claim
G100-071,GOVERNANCE_ETHICS,Research governance gates,PASS,oslt_research/research_governance.py:Governance
G100-072,GOVERNANCE_ETHICS,Sensitive-data governance,PASS,OSLT_VARIABLE_METHOD_CROSSWALK_v2_0_RC1.csv:SENSITIVE
G100-073,GOVERNANCE_ETHICS,Verified provenance required,PASS,oslt_research/evidence.py:VerificationState
G100-074,GOVERNANCE_ETHICS,Caller assertions cannot establish,PASS,oslt_research/evidence.py:CALLER_ASSERTION
G100-075,GOVERNANCE_ETHICS,Ethics gate for experiments,PASS,oslt_research/contrast.py:ethical_review_required
G100-076,GOVERNANCE_ETHICS,Secure environment roadmap,PASS,OSLT_DATA_DISCOVERY_ROADMAP_v2_0_RC1.md:Secure Data Environment
G100-077,GOVERNANCE_ETHICS,Data minimisation principle,PASS,OSLT_DATA_DISCOVERY_ROADMAP_v2_0_RC1.md:data minimisation
G100-078,GOVERNANCE_ETHICS,Protected output boundary,PASS,OSLT_DATA_DISCOVERY_ROADMAP_v2_0_RC1.md:aggregate
G100-079,GOVERNANCE_ETHICS,Legal/access restrictions recorded,PASS,OSLT_DATA_SOURCE_REGISTER_v2_0_RC1.csv:access
G100-080,GOVERNANCE_ETHICS,Research-only use reiterated,PASS,README_OSLT_v2_0_RC1.md:research
G100-081,ENGINEERING_REPRODUCIBILITY,Hash-chained journal,PASS,oslt_research/adjudication.py:ResearchComputationJournal
G100-082,ENGINEERING_REPRODUCIBILITY,Dataset snapshot hash,PASS,oslt_research/adjudication.py:dataset_snapshot_hash
G100-083,ENGINEERING_REPRODUCIBILITY,Code hash binding,PASS,oslt_research/reproducibility.py:analysis_code_hash
G100-084,ENGINEERING_REPRODUCIBILITY,Environment hash binding,PASS,oslt_research/reproducibility.py:environment_hash
G100-085,ENGINEERING_REPRODUCIBILITY,Protocol version binding,PASS,oslt_research/reproducibility.py:protocol_version
G100-086,ENGINEERING_REPRODUCIBILITY,Preflight,PASS,preflight_check.py:preflight
G100-087,ENGINEERING_REPRODUCIBILITY,Unit tests,PASS,tests/test_oslt_v2.py:FILE_EXISTS
G100-088,ENGINEERING_REPRODUCIBILITY,Inherited tests preserved,PASS,tests/test_research_kernel.py:test_research_kernel.py
G100-089,ENGINEERING_REPRODUCIBILITY,Mutation campaign,PASS,run_mutation_campaign.py:mutation
G100-090,ENGINEERING_REPRODUCIBILITY,Versioned package manifest,PASS,README_OSLT_v2_0_RC1.md:PACKAGE_MANIFEST
G100-091,DISCOVERY_OPERATIONS,Data source register,PASS,OSLT_DATA_SOURCE_REGISTER_v2_0_RC1.csv:source_id
G100-092,DISCOVERY_OPERATIONS,Discovery roadmap,PASS,OSLT_DATA_DISCOVERY_ROADMAP_v2_0_RC1.md:Priority
G100-093,DISCOVERY_OPERATIONS,Health data route,PASS,OSLT_DATA_SOURCE_REGISTER_v2_0_RC1.csv:NHS
G100-094,DISCOVERY_OPERATIONS,Education data route,PASS,OSLT_DATA_SOURCE_REGISTER_v2_0_RC1.csv:National Pupil Database
G100-095,DISCOVERY_OPERATIONS,Longitudinal cohort route,PASS,OSLT_DATA_SOURCE_REGISTER_v2_0_RC1.csv:Millennium Cohort
G100-096,DISCOVERY_OPERATIONS,Academic metadata route,PASS,OSLT_DATA_SOURCE_REGISTER_v2_0_RC1.csv:OpenAlex
G100-097,DISCOVERY_OPERATIONS,Historical archive route,PASS,OSLT_DATA_SOURCE_REGISTER_v2_0_RC1.csv:UK Government Web Archive
G100-098,DISCOVERY_OPERATIONS,Digital exposure route,PASS,OSLT_DATA_SOURCE_REGISTER_v2_0_RC1.csv:Ofcom
G100-099,DISCOVERY_OPERATIONS,Source-to-variable linkage plan,PASS,OSLT_DATA_DISCOVERY_ROADMAP_v2_0_RC1.md:variable
G100-100,DISCOVERY_OPERATIONS,Phased acquisition plan,PASS,OSLT_DATA_DISCOVERY_ROADMAP_v2_0_RC1.md:Phase
