proposition_id,model_family,domain,statement,prediction,falsifier,required_workstreams,primary_outcome_construct,temporal_requirement,maximum_claim_state,status
MD13,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Cultural context,Macro-cultural changes modify the social availability and legitimacy of sex/gender concepts.,Cross-region/jurisdiction analyses show contextual moderation after economic/demographic controls.,No robust contextual association or reverse temporal ordering.,W10;W11;W01;W07,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD14,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Religious institutional context,Declining or differing traditional religious institutional influence may alter macro-level norms but is not presumed an individual cause.,Macro-level religious/institutional indicators moderate policy/discourse trajectories.,Associations vanish under confounding control or do not replicate cross-jurisdictionally.,W10;W11;W01;W07,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD15,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Structural coupling,"Independent academic, policy, advocacy, digital and clinical systems can reinforce one another without central coordination.",Temporal/network analysis shows cross-system diffusion and feedback with independent nodes.,"Observed changes are better explained by isolated, non-coupled processes.",W10;W11;W01;W07,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD16,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Heterogeneous pathways,Multiple causally distinct pathways produce similar presenting labels.,Externally validated latent/sequence/trajectory models reproduce distinct pathways.,Apparent classes are unstable artefacts of measurement/model choice.,W03;W04;W06;W12,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD17,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Interaction effects,Combined exposures have non-additive effects in defined subgroups.,Prespecified interactions replicate externally and improve calibration.,"Interactions are unstable, specification-dependent or fail replication.",W03;W04;W06;W12,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD18,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Minority stress/distress,Stigma/discrimination may increase distress even when not explaining origin.,Mediation separates distress effects from onset/identity mechanisms.,No distress mediation or effects occur only through alternative pathways.,W03;W04;W06;W12,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD19,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Family/social context,Family and social context modify trajectory without implying blame or universal causation.,Longitudinal contextual factors interact with baseline characteristics.,No replicated effect after confounding and selection adjustment.,W03;W04;W06;W12,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD20,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Narrative/semantic uptake,Identity vocabulary can be adopted at different stages relative to distress.,"Longitudinal narratives show distinguishable sequences of distress, exposure and terminology uptake.",Sequence ordering is inconsistent or entirely recall-biased.,W03;W04;W06;W12,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS01,ASCERTAINMENT_SERVICE,Referral threshold,Changing referral thresholds contribute materially to observed referral growth.,Policy/service changes create discontinuities in referral rates independent of prevalence measures.,Referral growth mirrors population prevalence with no threshold discontinuity.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS02,ASCERTAINMENT_SERVICE,Service capacity,Capacity/waiting-list/service configuration affects observed case counts.,Capacity expansions/restrictions alter recorded referrals or throughput.,No relationship to service capacity after denominator control.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS03,ASCERTAINMENT_SERVICE,Coding change,Diagnostic/coding changes create artefactual time trends.,Trend discontinuities align with coding/definition changes.,Harmonised coding leaves trend unchanged.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS04,ASCERTAINMENT_SERVICE,Disclosure,Reduced stigma increases disclosure/help-seeking.,Disclosure indicators change before referral without corresponding objective symptom onset shift.,Onset measures rise similarly before disclosure changes.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS05,ASCERTAINMENT_SERVICE,Awareness,Public/professional awareness changes ascertainment.,Search/media/clinical awareness predicts presentation after service controls.,No independent association or reverse ordering.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS06,ASCERTAINMENT_SERVICE,Case mix,Changing case mix explains part of outcome change.,Age/sex/psychiatric/neurodevelopmental composition shifts explain part of aggregate trend.,Standardisation/decomposition shows minimal contribution.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS07,ASCERTAINMENT_SERVICE,Geographic access,Distance/provider distribution affects referral likelihood.,Natural variation in access predicts referral after need proxies.,No access gradient after adjustment.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS08,ASCERTAINMENT_SERVICE,Administrative completeness,Submission/coverage changes in administrative datasets create apparent changes.,Data-quality metadata explain discontinuities.,Trends persist in stable-coverage subsets and independent data.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS09,ASCERTAINMENT_SERVICE,Diagnostic substitution,Changes reflect substitution/reclassification among diagnostic categories.,Inverse or compensating trends appear across related categories.,No substitution pattern is observed.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS10,ASCERTAINMENT_SERVICE,Survey measurement,Survey wording/response options affect prevalence estimates.,Mode/wording experiments or harmonisation change prevalence estimates materially.,Estimates invariant to wording/mode.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS11,ASCERTAINMENT_SERVICE,Historical denominator,Population denominator change contributes to raw-count growth.,Age/sex demographic standardisation attenuates raw growth.,Standardised rates remain unchanged.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
AS12,ASCERTAINMENT_SERVICE,Follow-up attrition,Observed persistence/detransition rates are biased by differential follow-up.,IPW/MNAR sensitivity materially changes estimates.,Results stable under plausible missingness models.,W01;W02;W09;W10,recorded prevalence/referral/service outcome,policy/coding/access changes must be time-stamped,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX01,MIXTURE_HETEROGENEITY,Mixed contribution,No single family explains the population change; contributions vary by cohort and period.,Hierarchical mixture/decomposition outperforms single-family models out of sample.,A simpler single-family model performs equally or better.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX02,MIXTURE_HETEROGENEITY,Cohort heterogeneity,Different birth cohorts have different pathway mixtures.,Age-period-cohort/trajectory models show reproducible cohort variation.,No cohort interaction after measurement harmonisation.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX03,MIXTURE_HETEROGENEITY,Sex heterogeneity,Pathways/effects differ by sex recorded at birth.,Prespecified interactions replicate across datasets.,No replicated heterogeneity.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX04,MIXTURE_HETEROGENEITY,Jurisdiction heterogeneity,Mechanism contributions vary by jurisdiction/policy context.,Transportability models identify contextual effect modification.,Effects transport without meaningful modification.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX05,MIXTURE_HETEROGENEITY,Era heterogeneity,Diagnostic regime changes alter measured constructs and pathways.,Concept-resolution and measurement-invariance analyses identify regime-specific differences.,Constructs remain invariant across eras.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX06,MIXTURE_HETEROGENEITY,Outcome heterogeneity,"Identity label, distress, referral, treatment request and medical intervention are distinct outcomes with different causes.",Separate outcome models differ materially.,A common latent outcome explains all with invariant effects.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX07,MIXTURE_HETEROGENEITY,Unexplained component,A material residual component remains after measured mechanisms.,Posterior/decomposition retains unexplained variance with honest uncertainty.,Measured mechanisms fully and robustly explain variation.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX08,NULL_OR_ALTERNATIVE,Null social effect,Social/digital variables may predict but not causally affect outcomes.,Associations disappear under temporal/selection/negative-control designs.,Causal signal survives all such designs.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX09,NULL_OR_ALTERNATIVE,Null institutional effect,Institutional/policy variables may correlate historically without causal contribution.,Quasi-experimental contrasts show no effect despite temporal association.,Robust natural experiments identify effect.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX10,MIXTURE_HETEROGENEITY,Measurement artefact,Some subgroup differences are measurement artefacts rather than substantive pathways.,DIF/invariance models account for apparent subgroup effects.,Differences persist under invariant measures.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX11,MIXTURE_HETEROGENEITY,Common-cause alternative,Observed exposure and outcome share antecedent causes.,Rich baseline adjustment/negative controls attenuate exposure effects.,Effects persist despite strong common-cause controls.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX12,MIXTURE_HETEROGENEITY,Bidirectionality,Some relationships are reciprocal rather than one-way.,Cross-lagged/dynamic models support feedback.,Only one temporal direction is supported.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX13,MIXTURE_HETEROGENEITY,Rare-pathway concentration,Strong mechanisms may apply only to small subgroups.,HTE/sequence analysis detects replicable concentrated effects.,Effects are diffuse or subgroup findings fail replication.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX14,NULL_OR_ALTERNATIVE,No academic direction bias,Literature asymmetry may reflect underlying evidence rather than gatekeeping.,"After registration, design quality and field-size control, result direction does not predict publication/funding/citation.",Direction remains predictive after those controls.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX15,NULL_OR_ALTERNATIVE,No religious-context effect,Religious decline may be temporally coincident but non-causal.,Cross-jurisdiction and within-region controls remove association.,Association persists with temporal and quasi-experimental support.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MX16,MIXTURE_HETEROGENEITY,Model uncertainty,Several models may remain observationally equivalent.,Bayesian/model-tournament results retain comparable support.,One model decisively dominates across independent evidence families.,W01;W02;W04;W06;W07;W10;W11,model-specific outcome,context-aligned temporal comparison,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
TH01,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Influence architecture,Environmental salience/default/social-proof/framing mechanisms contribute to interpretation or decision-making in defined settings.,Measured environmental configurations predict decision differences under controlled designs.,No controlled effect or alternative explanations dominate.,W05;W09;W13,institutional/clinical/social outcome,mechanism cause must precede downstream outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
TH02,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Spiral of silence,Perceived reputational costs suppress expression of dissenting clinical/academic views.,Anonymous-vs-public or climate measures reveal systematic preference-expression gaps.,No gap and no relation to perceived sanctions.,W07;W09;W12,institutional/clinical/social outcome,mechanism cause must precede downstream outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
TH03,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Preference falsification,Public consensus may exceed privately held agreement under institutional pressure.,Confidential surveys/interviews show stable private-public divergence.,Private and public positions align after measurement error control.,W07;W09;W12,institutional/clinical/social outcome,mechanism cause must precede downstream outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
TH04,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Policy embedding,Policy adoption precedes and predicts downstream institutional implementation.,Process tracing and event timing support policy→infrastructure→practice sequence.,Practice precedes policy or non-adopters show same changes.,W05;W09;W10,institutional/clinical/social outcome,mechanism cause must precede downstream outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
TH05,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Network effects,Formal networks increase diffusion/standardisation of concepts or practices.,Network centrality/exposure predicts adoption controlling for baseline similarity.,No diffusion beyond homophily/common shocks.,W07;W09;W10,institutional/clinical/social outcome,mechanism cause must precede downstream outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
TH06,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Career/reputational consequences,Perceived/actual sanctions alter clinical or academic behaviour.,Documented sanctions or experimental incentives change expressed/actual decisions.,No behavioural association and sanctions absent.,W07;W09;W12;W13,institutional/clinical/social outcome,mechanism cause must precede downstream outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
TH07,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Structural coupling,Separate institutions transmit mutually reinforcing content without central coordination.,Graph/process-tracing finds repeated cross-domain transfer and feedback.,Content/timing is independent and no cross-system coupling is observed.,W07;W09;W10;W11,institutional/clinical/social outcome,mechanism cause must precede downstream outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
TH08,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Cultural displacement,Changes in institutional religious authority are one contextual predictor among broader cultural transformations.,Macro longitudinal/cross-jurisdiction models show independent contextual moderation.,Effect disappears under confounding/measurement controls.,W01;W05;W10;W11,institutional/clinical/social outcome,mechanism cause must precede downstream outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
