method,roles,supported_data,claim_ceiling,theory_dependent,simulation_only,assumptions,safeguards
COMPETING_RISKS_MULTISTATE,DESCRIPTION;MECHANISM,EVENT_TIME;LONGITUDINAL,ASSOCIATION_OBSERVED,FALSE,FALSE,,
CONTRIBUTION_ANALYSIS,EVIDENCE_SYNTHESIS;MECHANISM,ARCHIVAL;MULTIMODAL,ASSOCIATION_OBSERVED,FALSE,FALSE,,explicit theory of change; rival explanations required
CONVERSATION_ANALYSIS,INTERPRETATION;MECHANISM,CONVERSATION,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,recording provenance; do not infer persuasion from lexical convergence alone
CORPUS_LINGUISTICS,DESCRIPTION;SEMANTIC_CHANGE,TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,
CRITICAL_DISCOURSE_ANALYSIS,INTERPRETATION,CONVERSATION;TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,TRUE,FALSE,,label theory-dependent interpretation; independent alternative framing analysis
CROSSOVER_RANDOMISED,CAUSAL_IDENTIFICATION;CONTRAST,EXPERIMENTAL;REPEATED_MEASURES,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,no material carryover or period effects unaddressed,washout/period modelling; unsuitable for irreversible exposures
CROSS_METHOD_TRIANGULATION,EVIDENCE_SYNTHESIS;ROBUSTNESS,ARCHIVAL;BIBLIOMETRIC;CONVERSATION;CROSS_SECTIONAL;EVENT_TIME;HIERARCHICAL;INTERVIEW;LONGITUDINAL;MULTIMODAL;NETWORK;PANEL;REPEATED_MEASURES;SPATIAL;TEXT_CORPUS;TIME_SERIES,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,,assess correlated biases; do not count methods as independent merely because labels differ
DAG_MODEL_CRITICISM,CAUSAL_IDENTIFICATION;ROBUSTNESS,MULTIMODAL,ASSOCIATION_OBSERVED,FALSE,FALSE,competing DAG implications operationalisable,test implied independencies/negative controls; retain domain review
DECISION_CURVE_ANALYSIS,PREDICTION,CROSS_SECTIONAL;LONGITUDINAL,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,clinical utility distinct from causal validity
DIACHRONIC_SEMANTIC_ANALYSIS,SEMANTIC_CHANGE;TEMPORAL_CHANGE,TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,control corpus composition; embedding alignment sensitivity
DIFFERENCE_IN_DIFFERENCES,CAUSAL_IDENTIFICATION;TEMPORAL_CHANGE,PANEL;TIME_SERIES,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,parallel trends or defensible generalisation; no anticipation,
DIFFERENTIAL_ITEM_FUNCTIONING,MEASUREMENT,CROSS_SECTIONAL;HIERARCHICAL,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,
DIFFUSION_CASCADE_ANALYSIS,DIFFUSION;TEMPORAL_CHANGE,EVENT_TIME;NETWORK,ASSOCIATION_OBSERVED,FALSE,FALSE,,
DISCOURSE_ANALYSIS,INTERPRETATION;SEMANTIC_CHANGE,CONVERSATION;TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,TRUE,FALSE,,
DISTRIBUTED_LAG_TIME_VARYING_EFFECT,MECHANISM;TEMPORAL_CHANGE,LONGITUDINAL;TIME_SERIES,ASSOCIATION_OBSERVED,FALSE,FALSE,,prespecify plausible lag window; account for autocorrelation
DYNAMIC_STRUCTURAL_EQUATION_MODEL,MECHANISM;TEMPORAL_CHANGE,LONGITUDINAL;REPEATED_MEASURES,ASSOCIATION_OBSERVED,FALSE,FALSE,,
DYNAMIC_TOPIC_MODEL,SEMANTIC_CHANGE;TEMPORAL_CHANGE,TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,topic-number sensitivity; human semantic validation; corpus-composition controls
EQUIVALENCE_NONINFERIORITY,CONTRAST;ROBUSTNESS,EXPERIMENTAL;CROSS_SECTIONAL;LONGITUDINAL,ASSOCIATION_OBSERVED,FALSE,FALSE,margin clinically/substantively justified before analysis,do not infer equivalence from non-significance; sensitivity to margin
EVENT_STUDY,CAUSAL_IDENTIFICATION;TEMPORAL_CHANGE,PANEL;TIME_SERIES,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,valid comparison group; appropriate staggered-adoption estimator,
E_VALUE_SENSITIVITY,ROBUSTNESS;BIAS_DIAGNOSIS,OBSERVATIONAL,ASSOCIATION_OBSERVED,FALSE,FALSE,effect measure compatible and assumptions understood,report for estimate and confidence limit; not a substitute for confounder analysis
FACTORIAL_RANDOMISED,CAUSAL_IDENTIFICATION;INTERACTION;CONTRAST,EXPERIMENTAL,STRONG_REPLICATED_CAUSAL_EVIDENCE,FALSE,FALSE,random allocation; factorial estimand defined; interaction scale specified,preregister main effects and interactions; inspect non-additivity
FRAME_ANALYSIS,INTERPRETATION;SEMANTIC_CHANGE,ARCHIVAL;TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,TRUE,FALSE,,
GENERALISED_ADDITIVE_NONLINEAR,DESCRIPTION;PREDICTION;TEMPORAL_CHANGE,CROSS_SECTIONAL;LONGITUDINAL;TIME_SERIES,ASSOCIATION_OBSERVED,FALSE,FALSE,,penalise smoothness; validate out of sample
GROUNDED_THEORY,INTERPRETATION;MECHANISM,INTERVIEW;TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,TRUE,FALSE,,
GROUP_SEQUENTIAL_DESIGN,CAUSAL_IDENTIFICATION;SEQUENTIAL_EVIDENCE,EXPERIMENTAL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,stopping boundaries and looks prespecified,alpha spending or Bayesian stopping rule; report all looks
GROWTH_MIXTURE_MODEL,HETEROGENEITY;TEMPORAL_CHANGE,LONGITUDINAL;REPEATED_MEASURES,ASSOCIATION_OBSERVED,FALSE,FALSE,,class-enumeration sensitivity; external validation; avoid deterministic subtype claims
G_METHODS,CAUSAL_IDENTIFICATION;MEDIATION,LONGITUDINAL;REPEATED_MEASURES,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,sequential exchangeability; positivity; consistency,
HISTORICAL_INSTITUTIONAL_CHANGE,MECHANISM;TEMPORAL_CHANGE,ARCHIVAL;TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,
INDIVIDUAL_PARTICIPANT_DATA_META_ANALYSIS,EVIDENCE_SYNTHESIS;HETEROGENEITY,LONGITUDINAL;MULTIMODAL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,,
INSTRUMENTAL_VARIABLES,CAUSAL_IDENTIFICATION,CROSS_SECTIONAL;LONGITUDINAL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,relevance; exclusion restriction; instrument independence,
INTERPRETATIVE_PHENOMENOLOGICAL_ANALYSIS,INTERPRETATION,INTERVIEW,DESCRIPTIVE_EVIDENCE_ONLY,TRUE,FALSE,,
INTERRUPTED_TIME_SERIES,CAUSAL_IDENTIFICATION;TEMPORAL_CHANGE,TIME_SERIES,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,stable pre-trend; no coincident intervention sufficient to explain break,
ITEM_RESPONSE_THEORY,MEASUREMENT,CROSS_SECTIONAL;HIERARCHICAL,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,
LABEL_NOISE_MISCLASSIFICATION,MEASUREMENT;BIAS_DIAGNOSIS,MULTIMODAL,ASSOCIATION_OBSERVED,FALSE,FALSE,misclassification mechanism represented,validation subsample; sensitivity/specificity uncertainty propagated
LATENT_CLASS_ANALYSIS,HETEROGENEITY,CROSS_SECTIONAL;HIERARCHICAL,ASSOCIATION_OBSERVED,FALSE,FALSE,,external validation; stability analysis; avoid reifying statistical classes
LATENT_VARIABLE_MEASUREMENT,MEASUREMENT,CROSS_SECTIONAL;LONGITUDINAL,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,
MEASUREMENT_ERROR_MODEL,BIAS_DIAGNOSIS;MEASUREMENT,CROSS_SECTIONAL;LONGITUDINAL,ASSOCIATION_OBSERVED,FALSE,FALSE,,
MEASUREMENT_INVARIANCE,MEASUREMENT,CROSS_SECTIONAL;LONGITUDINAL,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,
META_ANALYSIS_META_REGRESSION,EVIDENCE_SYNTHESIS,MULTIMODAL,ASSOCIATION_OBSERVED,FALSE,FALSE,,dependency-adjusted evidence units; publication-bias assessment; heterogeneity reported
MISSINGNESS_MECHANISM_DIAGNOSTICS,MEASUREMENT;ROBUSTNESS;BIAS_DIAGNOSIS,MULTIMODAL,ASSOCIATION_OBSERVED,FALSE,FALSE,missingness patterns observable enough for diagnosis,compare MAR/MNAR models; pattern diagnostics; tipping-point analysis
MNAR_TIPPING_POINT_PATTERN_MIXTURE,BIAS_DIAGNOSIS;ROBUSTNESS,LONGITUDINAL;REPEATED_MEASURES,ASSOCIATION_OBSERVED,FALSE,FALSE,,
MULTIARM_ABN_RANDOMISED,CAUSAL_IDENTIFICATION;CONTRAST,EXPERIMENTAL,STRONG_REPLICATED_CAUSAL_EVIDENCE,FALSE,FALSE,random allocation; multiplicity handled; common measurement,preregister contrasts; family-wise/FDR control; avoid post-hoc arm collapse
MULTILEVEL_HIERARCHICAL_MODEL,DESCRIPTION;HETEROGENEITY,HIERARCHICAL;LONGITUDINAL;PANEL,ASSOCIATION_OBSERVED,FALSE,FALSE,,separate within- and between-cluster effects; report cluster-level uncertainty
MULTIVIEW_MULTIMODAL_INTEGRATION,EVIDENCE_SYNTHESIS;HETEROGENEITY,MULTIMODAL,ASSOCIATION_OBSERVED,FALSE,FALSE,,preserve modality provenance; avoid leakage across train/test modalities; external validation
MULTI_ANALYST_REPLICATION,ROBUSTNESS;EVIDENCE_SYNTHESIS,MULTIMODAL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,,independent teams; shared protocol boundaries; compare analytical decisions not just results
NARRATIVE_ANALYSIS,INTERPRETATION;TEMPORAL_CHANGE,INTERVIEW;TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,TRUE,FALSE,,
NEGATIVE_POSITIVE_CONTROLS,BIAS_DIAGNOSIS;ROBUSTNESS,ARCHIVAL;BIBLIOMETRIC;CONVERSATION;CROSS_SECTIONAL;EVENT_TIME;HIERARCHICAL;INTERVIEW;LONGITUDINAL;MULTIMODAL;NETWORK;PANEL;REPEATED_MEASURES;SPATIAL;TEXT_CORPUS;TIME_SERIES,ASSOCIATION_OBSERVED,FALSE,FALSE,,
OUT_OF_SAMPLE_CALIBRATION_VALIDATION,PREDICTION;ROBUSTNESS,CROSS_SECTIONAL;LONGITUDINAL;PANEL,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,locked external test set; report discrimination and calibration
PLACEBO_FALSIFICATION,BIAS_DIAGNOSIS;ROBUSTNESS,ARCHIVAL;BIBLIOMETRIC;CONVERSATION;CROSS_SECTIONAL;EVENT_TIME;HIERARCHICAL;INTERVIEW;LONGITUDINAL;MULTIMODAL;NETWORK;PANEL;REPEATED_MEASURES;SPATIAL;TEXT_CORPUS;TIME_SERIES,ASSOCIATION_OBSERVED,FALSE,FALSE,,
PRAGMATICS_SPEECH_ACT_ANALYSIS,INTERPRETATION,CONVERSATION;TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,TRUE,FALSE,,
PRINCIPAL_STRATIFICATION,CAUSAL_IDENTIFICATION;HETEROGENEITY,EVENT_TIME;LONGITUDINAL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,,state principal-stratum identification assumptions
PROBABILISTIC_BIAS_ANALYSIS,BIAS_DIAGNOSIS;ROBUSTNESS,ARCHIVAL;BIBLIOMETRIC;CONVERSATION;CROSS_SECTIONAL;EVENT_TIME;HIERARCHICAL;INTERVIEW;LONGITUDINAL;MULTIMODAL;NETWORK;PANEL;REPEATED_MEASURES;SPATIAL;TEXT_CORPUS;TIME_SERIES,ASSOCIATION_OBSERVED,FALSE,FALSE,,
PROCESS_TRACING,MECHANISM;TEMPORAL_CHANGE,ARCHIVAL;INTERVIEW;TEXT_CORPUS,ASSOCIATION_OBSERVED,FALSE,FALSE,,test rival mechanisms; do not equate chronology with causation
PROPENSITY_WEIGHTING_MATCHING,CAUSAL_IDENTIFICATION,LONGITUDINAL;PANEL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,no unmeasured confounding; positivity; correct propensity specification,
PSYCHODYNAMIC_FORMULATION,INTERPRETATION;MECHANISM,ARCHIVAL;INTERVIEW,DESCRIPTIVE_EVIDENCE_ONLY,TRUE,FALSE,,hypothesis generation only; compete with non-psychodynamic formulations; no individual causal attribution
PUBLICATION_SELECTION_MODEL,BIAS_DIAGNOSIS;EVIDENCE_SYNTHESIS,BIBLIOMETRIC;MULTIMODAL,ASSOCIATION_OBSERVED,FALSE,FALSE,,selection model sensitivity; do not infer suppression from asymmetry alone
QUALITATIVE_COMPARATIVE_ANALYSIS,CONFIGURATION;HETEROGENEITY,CROSS_SECTIONAL;HIERARCHICAL,ASSOCIATION_OBSERVED,FALSE,FALSE,,calibration sensitivity; report contradictory configurations; avoid probabilistic overclaim
QUANTITATIVE_CONTENT_ANALYSIS,DESCRIPTION;TEMPORAL_CHANGE,ARCHIVAL;TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,coding reliability; validated codebook; sampling frame
RANDOMISED_AB_TEST,CAUSAL_IDENTIFICATION;CONTRAST,EXPERIMENTAL,STRONG_REPLICATED_CAUSAL_EVIDENCE,FALSE,FALSE,random allocation; consistency; positivity; SUTVA where applicable,preregister; allocation concealment where feasible; report attrition and estimand
REALIST_CONTEXT_MECHANISM_OUTCOME,HETEROGENEITY;MECHANISM,ARCHIVAL;INTERVIEW;MULTIMODAL,ASSOCIATION_OBSERVED,TRUE,FALSE,,
RECORD_LINKAGE_ERROR_ANALYSIS,MEASUREMENT;BIAS_DIAGNOSIS,LINKED_ADMINISTRATIVE,ASSOCIATION_OBSERVED,FALSE,FALSE,linkage process and error rates estimable,probabilistic linkage sensitivity; false-match and missed-match analysis
REGISTRY_PUBLICATION_COMPARISON,BIAS_DIAGNOSIS;EVIDENCE_SYNTHESIS,ARCHIVAL;BIBLIOMETRIC,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,match registrations to outputs; distinguish non-publication from delayed publication
REGRESSION_DISCONTINUITY,CAUSAL_IDENTIFICATION,CROSS_SECTIONAL;EVENT_TIME,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,no precise manipulation around threshold; continuity near cutoff,
ROSENBAUM_BOUNDS,ROBUSTNESS;BIAS_DIAGNOSIS,MATCHED_OBSERVATIONAL,ASSOCIATION_OBSERVED,FALSE,FALSE,matched design and sensitivity model appropriate,report hidden-bias parameter range; do not convert to probability of causation
SEQUENCE_ANALYSIS,HETEROGENEITY;TEMPORAL_CHANGE,EVENT_TIME;LONGITUDINAL,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,
SEQUENTIAL_BAYES_EVIDENCE,EVIDENCE_SYNTHESIS;SEQUENTIAL_EVIDENCE,MULTIMODAL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,prior and stopping rules explicit; dependency model specified,prior sensitivity; time-stamped evidence updates; avoid optional stopping opacity
SOCIAL_NETWORK_ANALYSIS,DESCRIPTION;DIFFUSION,NETWORK,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,
SPATIAL_EPIDEMIOLOGY,DESCRIPTION;HETEROGENEITY,PANEL;SPATIAL,ASSOCIATION_OBSERVED,FALSE,FALSE,,spatial autocorrelation; ecological-fallacy warning; boundary sensitivity
SPECIFICATION_CURVE_MULTIVERSE,BIAS_DIAGNOSIS;ROBUSTNESS,ARCHIVAL;BIBLIOMETRIC;CONVERSATION;CROSS_SECTIONAL;EVENT_TIME;HIERARCHICAL;INTERVIEW;LONGITUDINAL;MULTIMODAL;NETWORK;PANEL;REPEATED_MEASURES;SPATIAL;TEXT_CORPUS;TIME_SERIES,ASSOCIATION_OBSERVED,FALSE,FALSE,,include only theoretically defensible specifications; report full specification set
STANCE_EPISTEMIC_MODALITY_ANALYSIS,INTERPRETATION;SEMANTIC_CHANGE,CONVERSATION;TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,validated annotation scheme; separate stance from factual truth
STANDARDISATION_DECOMPOSITION,DESCRIPTION;TEMPORAL_CHANGE,CROSS_SECTIONAL;PANEL;TIME_SERIES,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,separate compositional change from rate change
STANDARD_ADJUSTMENT,CAUSAL_IDENTIFICATION,CROSS_SECTIONAL;LONGITUDINAL,ASSOCIATION_OBSERVED,FALSE,FALSE,exchangeability; positivity; correct temporal ordering,
STEPPED_WEDGE_CLUSTER,CAUSAL_IDENTIFICATION;TEMPORAL_CHANGE,EXPERIMENTAL;HIERARCHICAL;TIME_SERIES,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,secular trends modelled; rollout allocation credible,calendar-time adjustment; contamination audit; prespecified transition model
STOCHASTIC_ACTOR_ORIENTED_MODEL,DIFFUSION;MECHANISM,LONGITUDINAL;NETWORK,ASSOCIATION_OBSERVED,FALSE,FALSE,,separate selection from influence; temporal network observations required
STRUCTURAL_EQUATION_MODEL,MEASUREMENT;MECHANISM;MEDIATION,CROSS_SECTIONAL;LONGITUDINAL,ASSOCIATION_OBSERVED,FALSE,FALSE,,model equivalence checks; do not infer causality from fit alone
SURVIVAL_EVENT_HISTORY,CAUSAL_IDENTIFICATION;DESCRIPTION,EVENT_TIME;LONGITUDINAL,ASSOCIATION_OBSERVED,FALSE,FALSE,,
SYNTHETIC_CONTROL,CAUSAL_IDENTIFICATION;TEMPORAL_CHANGE,PANEL;TIME_SERIES,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,credible donor pool; good pre-intervention fit,
SYSTEM_DYNAMICS_SIMULATION,MECHANISM;PREDICTION,MULTIMODAL;TIME_SERIES,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,TRUE,,simulation is not evidence of mechanism truth
TARGET_TRIAL_EMULATION,CAUSAL_IDENTIFICATION,EVENT_TIME;LONGITUDINAL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,explicit eligibility; time zero alignment; treatment strategy mapping,map each target-trial element to observed data
THEMATIC_FRAMEWORK_ANALYSIS,INTERPRETATION,INTERVIEW;TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,TRUE,FALSE,,
TRANSPORTABILITY_GENERALISABILITY,EVIDENCE_SYNTHESIS;ROBUSTNESS,LONGITUDINAL;MULTIMODAL;PANEL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,,define source and target populations; measure effect-modifying transport variables
UNMEASURED_CONFOUNDING_SENSITIVITY,BIAS_DIAGNOSIS;ROBUSTNESS,ARCHIVAL;BIBLIOMETRIC;CONVERSATION;CROSS_SECTIONAL;EVENT_TIME;HIERARCHICAL;INTERVIEW;LONGITUDINAL;MULTIMODAL;NETWORK;PANEL;REPEATED_MEASURES;SPATIAL;TEXT_CORPUS;TIME_SERIES,ASSOCIATION_OBSERVED,FALSE,FALSE,,
VALUE_OF_INFORMATION,DECISION_SUPPORT;DATA_ACQUISITION,MULTIMODAL,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,TRUE,decision model and utilities explicitly declared,"use to prioritise research, not to infer mechanism truth"
